 host           organization                          location
 aetech         Aetech, Inc.                          Carlsbad, CA
 af01           Terminals Unlimited                   Harvard, MA
 afbf05         American Farm Bureau                  Park Ridge, IL
 afbs           Headquarters Air Force Broadcasting   Kelly AFB, Texas
 afc            Alias Full Color                      Sandy Hook, CT
 afed           Federal Reserve Bank of Atlanta       Atlanta, Georgia
 afford         Affordable Systems, Inc.              Tulsa, Oklahoma
 afi            AudioFile, Inc.                       Lexington, MA
 afinitc        Affinitec, Corporation                St Louis, Missouri
 afnews         Air Force News Center                 Kelly AFB, Texas
 afp            Agence France Presse                  France
 africa         Intertech Systems                     South Africa
 afsg           Apple Federal Systems Group           Reston, Virginia
 afuu           Association Francaise des Utilisateu  France
 agar1          Agar Corporation, Inc.                Houston, Texas
 agc            Atlantic Geoscience Centre            Dartmouth Nova Sco
 agdept         Oregon Department of Agriculture      Salem, Oregon
 agent          Agent Systems, Inc.                   Dallas, Texas
 agge           James M. Halbert-Individual           McLean, Virginia
 aggie          American Cyanamid Company Agricultur  Wayne, New Jersey
 aggie2         Independent Consultant                Herndon, Virginia
 agni           Indira Gandhi Institute of Developme  INDIA
 agog           Agog, Inc.                            Grand Ledge, MI
 agora          The Open Communication Forum          Portland, Oregon
 agouron        Agouron Pharmaceuticals, Inc.         La Jolla, CA
 agrib          CEC, Agricultural Informatics         Brussels
 agrijag        No Organization at all                Lauderhill, FL
 agrimad        Agrigenetics Co.                      Madison, Wisconsin
 agsnjt         AGS Information Services              Clark, New Jersey
 agsub          Silver Sub Systems                    Scarborough, ON
 ahcc           Affordable Health Care Concepts       Sacramento, CA
 ahi            Artificial Horizons, Inc              Palo Alto, CA
 ahmcs          Alan H. Mintz Consulting Services     Alta Loma, CA
 ahs            Automated Handling Systems, Inc.      San Francisco, CA
 ahscal         Heart and Stroke Foundation of Alber  Canada
 ai-vie         Universitaet Wien, Inst.f.Med.Kybern  Austria
 aicchi         Analysts International Corp., Chicag  Schaumburg, IL
 aiche          American Institute of Chemical Engin  New York, New York
 aicmuc         AIC Software GmbH                     Germany
 aiehost        Delco Electronics Corp.               Kokomo, Indiana
 aim1           Aztec Information Management (Pty)    ROGGEBAAI
 aimed          Acme Computing                        Ontario
 aimla          American Interactive Media, Compact   Los Angeles, CA
 aimt           AIM Technology                        Santa Clara, CA
 airgun         Western Geophysical - Division of We  Houston, Texas
 airmics        Army Institute for Research in Manag  Atlanta, Georgia
 ais            Applied Information Systems           Chapel Hill, NC
 aisg           Advanced Information Systems Group,   Daytona Beach, FL
 aisie          Applied Intelligent Systems, Inc.     Ann Arbor, MI
 aix            AGS Information Services, Inc.        Willimantic, CT
 aix3           Energy Management                     San Jose, CA
 aja            Integrity Software                    Los Angeles, CA
 ajfcal         Crafield Digital Inc.                 Canada
 ajg            Ammons & Johnson Grain Co., Inc.      Darlington South C
 ajhcs          AJH Computer Systems                  Lynnwood, WA
 akasha         The Akashic Records                   Austin, Texas
 akbar          Persian Rug Gallery                   Kentucky
 akelei         Columbine Data Systems, Inc.          Boulder, Colorado
 akfire-1       Akron Fire Department                 Ohio
 akira          Himself                               France
 akitainu       DCSB Systems                          San Diego, CA
 akix           CxS Technology                        San Diego, CA
 alacron        Alacron, Inc.                         Nashua, NH
 alantec        Alantec Inc.                          San Jose, CA
 alaska         David Ford's Home System              Decatur, Georgia
 alba2l         Alba Tool Co., Inc.                   Bristol, PA
 albanycs       SUNY at Albany, Computer Science Dep  Albany, New York
 alberic        CompuPro/VIASYN Corporation           Hayward, CA
 alberta        University of Alberta, Dept. of Comp  Canada
 alby6055       Unisys Corporation                    Albany, New York
 alc            Ascent Logic Corporation              San Jose, CA
 alc-mac        Ascent Logic Corporation              San Jose, CA
 alchemy        Alchemy Software Designs              Corona, California
 alcoas         Aluminum Company of America           Alcoa, Tennessee
 alden          Alden Electronics, Inc.               Westboro, MA
 alderan        Splittgerber Datentechnik             Germany
 aldoe          IRS ICS Micro Support                 Dallas, Texas
 alembic        Alembic Computer Services Co.         McLean, Virginia
 aleph          Aleph                                 Santa Clara, CA
 aleph1         Dan Davis, Jr.                        Silver Springs, MD
 alex           University of Pittsburgh              Pittsburgh, PA
 alexandra      MTL Systems, Inc.                     Dayton, Ohio
 aleytys        Center for Mike's Computing Enjoymen  USA
 alf            Sheridan College                      Canada
 alfalab        Alfalab Research                      Canada
 alfalfa        Alfalfa Software, Inc.                Cambridge, MA
 alfatek        Alphatech, Inc.                       Burlington, MA
 alfirin        Alfirin Technologies                  Beaverton, Oregon
 alfrat         Appel & Frenzel Systementwicklung     Germany
 algo           Algosystems sa                        Greece
 algor1         Algorists, Inc.                       Sterling, Virginia
 algor2         Algorists, Inc.                       Reston, Virginia
 alias          Alias Research Inc.                   Toronto, Ontario
 alida          Alida, Inc.                           Bergenfield, NJ
 alien          JCS Technology                        Los Gatos, CA
 alifan         Apunix Computer Services              San Diego, CA
 allegra        AT&T Bell Laboratories                Murray Hill, NJ
 allegro        Allegro Consultants                   Redwood City, CA
 alliant        Alliant Computer Systems Corporation  Littleton, MA
 allison        Allison Thomas Associates             Sherman Oaks, CA
 almserv        Fannie Mae                            NW Washington, DC
 aloha          Evolutionary Technologies, Inc.       Austin, Texas
 aloha1         Department of Electrical Engineering  Honolulu, Hawaii
 alpha          Assistive Device Resource Center      Indiana USA
 alpha0         Alphatel Systems, Ltd.                Canada
 alpo           Cascade Communications Corp.          Westford, MA
 alps           American LP Systems, Inc.             Bohemia, New York
 alr            Stanton Public Domain Systems         Stanton, CA
 alrsysv        Advanced Logic Research, Inc          Irvine, California
 alruna         Wichmann Consulting                   Berkeley, CA
 alta           Altadena Instruments                  Pasadena, CA
 alta-oh        Alta Analytics                        Dublin, Ohio
 alta-va        Alta Analytics                        Arlington, VA
 altair         Altair Aerospace Corp                 Lexington Park, MD
 altbost        Altos Computer Systems. Burlington    Mass
 altera         Altera Corporation                    Santa Clara, CA
 altger         Altos Computer Systems GmbH           Germany
 althea         Shakedown Street Public Access Unix   New Brunswick, NJ
 altitude       Communications Accessibles Montreal   CANADA
 altos86        Altos Computer Systems - Software En  San Jose, CA
 altum          Altum, Inc.                           Mountain View, CA
 alv            Center for Automation Research, Univ  College Park, MD
 alvarez        Alex Alvarez and Associates           Miami, Florida
 always         Always Technology                     Westlake Village C
 alxfac         Control Data Corporation              Alexandria, VA
 alxfin         Alexander Fianancial Services, Inc.   Apopka, Florida
 alyce          Foo Enterprises                       Arlington, VA
 alyssa         Institut Regional des Sciences Infor  Tunisia
 alzabo         Midnight Software Inc.                Canada
 amadeus        Home machine                          Old Bridge, NJ
 amair          American Airlines                     DFW Airport, Texas
 amandla        Taniwha Systems Design                Berkeley, CA
 amanpt1        Aquidneck Management Associates       USA
 amara          Applied Dynamics International, Inc.  Ann Arbor, MI
 amaranth       The Computer Guy                      Pensacola, Florida
 amber          Dworkin Enterprises                   Los Gatos, CA
 ambush         AmbraSoft A/S, Development Dept.      Holte
 amc            Applied Microsystems Corporation      Redmond, WA
 amc-edm        Alberta Microelectronics Corporation  Alberta
 amc-gw         Applied Microsystems Corporation      Redmond, WA
 amc-vlsi       Alberta Microelectronic Centre        Canada
 amcad          American Academy of Arts and Science  Massachusetts
 amcc           Applied Micro Circuits Corporation    San Diego, CA
 amcvlsi        Alberta Microelectronic Centre        Canada
 amd            Advanced Micro Devices, Inc.          Sunnyvale, CA
 amdahl         Amdahl Corporation, UTS Products Gro  Sunnyvale, CA
 amdcad         Ken Barry                             San Jose, CA
 amerchem       American Chemical Society             Washington, DC
 ameris         Ameritech Services                    Hoffman Estates IL
 ameristar      Ameristar Technology, Inc             Medford, New York
 ameritec       Ameritec Corporation / NetWatch Divi  Covina, California
 ames           NASA Ames Research Center             Moffett Field, CA
 ametek         AMETEK Inc./Computer Research Divisi  Arcadia, CA
 amethyst       Dept. of Mathematics, University of   Tucson, Arizona
 amg            AMG Industrie Consulting              Germany
 amgen          Amgen, Inc.                           Thousand Oaks, CA
 amgraf         Amgraf, Inc.                          Kansas City, MO
 ami            Access Methods, Inc.                  Upper Montclair NJ
 ami386         Automated Media, Inc.                 Livonia, Michigan
 amiga          Kodiak Software                       Campbell, CA
 amigpx         Applied Microelectronics Institute,   Canada
 aminet         Waterbury USENET/UUCP                 Waterbury, CT
 amiserv        Amiga Network Information Systems     Lisle, Illinois
 amital         Amital Spinning Corp.                 North Carolina
 amix           Commodore Business Machines           West Chester, PA
 amok           TU-Berlin, FB 20 (Informatik), FG So  W Germany
 amperif        Amperif Corporation                   Omaha, Nebraska
 ampex          Ampex Corporation                     Redwood City, CA
 amr            Advance Micro Research                San Jose, CA
 amrc           Mission Research Corp., Albuquerque   Albuquerque, NM
 amsaix         AMS, Inc.                             Arlington, VA
 amsctg         AMS, Inc.                             Arlington, VA
  amsifl         Applied Measurement Systems, Inc.     Hollywood, Florida       
 amt            Active Memory Technology              Irvine, California        
 amtfocus       Motorola, Inc. General Systems Secto  Arlington Heights         
 amtmpdl        Motorola Inc.                         Schaumburg, IL            
 amyerg         Mississippi Department of Correction  Jackson, MS               
 anacapa        Naval Civil Engineering Laboratory    Port Hueneme, CA          
 anacom1        Anacom General Corp.                  Anaheim, CA               
 anacom2        Anacom General Corp.                  Anaheim, CA               
 anagld         Analytics, Inc.                       Columbia, MD              
 analog         Analog Design Tools                   Sunnyvale, CA             
 analog2        Analog Design Tools                   Sunnyvale, CA             
 analogy        Analogy Inc.                          Oregon                    
 anansi         Words R We                            CANADA                    
 anarres        System V 3.1                          New York                  
 anasaz         Anasazi, Inc.                         Phoenix, Arizona          
 anatech        Robert - Montgomery                   San Diego, CA             
 anatolia       anatolia                              Minneapolis, MN           
 anb02          Airwavz National Broadcasting, Inc.   Redondo Beach, CA         
 ancilla        Kelly/Groves                          Canada                    
 anda           Distributed Graphics                  Santa Barbara, CA         
 andersen       Arthur Andersen & Co.                 Chicago, Illinois         
 andina         Luis Canessa - Investigador.          MENDOZA                   
 android        Andersen Consulting                   New York, New York        
 andromeda      Rutgers Univ., Center for Computer    Newark, New Jersey        
 andunix        Andy's C school...                    Ohio                      
 andvr9x        Nynex Service Company                 Andover, MA               
 andy           Andy Fischer Consulting               Walnut Hill Troy M        
 anet           Arbornet Inc, Community-access UNIX.  Ann Arbor, MI             
 angelos        Godfrey's Basement System             Grandville, MI            
 angmar         UB Consultants                        Poughkeepsie, NY          
 anise          Advanced Computer Communications      Santa Barbara, CA         
 ankh           Public Access Unix - 305-973-1947     Florida                   
 anl433         Siemens AG, Abt. ANL A433             Germany                   
 anmi           Automated Network Management, Inc.    San Juan Capistran        
 anmr           Advanced NMR Systems, Inc.            Wilmington, MA            
 annek          Annek                                 Carol Stream, IL          
 anomaly        Small Business Systems, Incorporated  Esmond, RI                
 anonymix       Anonymix                              San Jose, CA              
 antares        Folsom Processes Engineering, Intel   Folsom, California        
 antel          AnTeL, Inc.                           Plano, Texas              
 anthor         Arastar Consulting                    La Jolla, CA              
 anthrax        not an organization                   Alberta                   
 antiem         University of Vermont, Division of    Burlington, VT            
 antix          unorganized, and intend to stay that  Ann Arbor, MI             
 anubis         Anubis Systems of Jackson             Jackson, Michigan         
 anvil          Stratus Computer, Inc.                Marlboro, MA              
 anwar          HHB Systems                           Mahwah, New Jersey        
 aoa            Adaptive Optics Associates            U S A                     
 aoi-la         Aero Optics, Inc.                     Rolling Hills Esta        
 aoinet         Analytic Operations Inc.              Arlington, VA             
 aostul         AOS Network Solutions                 Tulsa, Oklahoma           
 apc            American Power Conversion             West Kingston, RI         
 apci-sc        Apollo Computer, Inc.                 Santa Clara, CA           
 apcichi        Apollo Computer Inc., Chicago Region  Illinois                  
 apcidfw        Apollo Division, Hewlett-Packard Com  Texas                     
 apcihel        Apollo Computer Ltd                   Finland                   
 apcihq         Hewlett-Packard Company               Chelmsford, MA            
 apcimsp        Apollo Computer Inc., Minneapolis,    Bloomington, MN           
 apcipdx        Hewlett-Packard Neely Sales Region    Wilsonville, OR           
 apciphx        Apollo Computer a division of HP      Phoenix, Arizona          
 apcisea        Apollo Computer, Inc                  Bellevue, WA              
 apcislc        Apollo Computer, Inc                  Salt Lake City, UT        
 apctrc         Amoco Production Company, Tulsa Rese  Oklahoma                  
 apd            Network Equipment Technologies - Acc  California                
 apertus        Apertus Technologies                  Eden Prairie, MN          
 apex           Apex Computer Company                 Redmond, WA               
 apexepa        Apex Software Corporation             Pittsburgh, PA            
 apgeom         Applied Geometry Corp.                Seattle, WA               
 api386         Associated Packaging, Inc.            Goodlettsville, TN        
 apin           Alberta Packet Information Network    CANADA                    
 apink          Assunpink Management Co., Inc.        Trenton, NJ               
 apl            Atmospheric Physics Lab, Institute    Canada                    
 apl-at         Applied Physics Laboratory, Universi  Seattle, WA               
 apl-em         Applied Physics Lab, University of    Seattle, WA               
 aplcen         Johns Hopkins University, APL Center  Laurel, MD                
 apli           APL Integrators                       Lynchburg, VA             
 apocryp        Apocrypha - of dubious value, questi  Lexington, KY             
 apollo         Hewlett-Packard Company               Chelmsford, MA            
 apple          Apple Computer, Inc.                  Cupertino, CA             
 applga         Schlumberger CAD/CAM Division         Ann Arbor, MI             
 applicon       Schlumberger Technologies CAD/CAM di  Billerica, MA             
 applied        Applied Computer Sciences             Ft Lauderdale, FL         
 applix         Applix, Incorporated                  Westboro, MA              
 approach       System Approach                       Rochester, MN             
 apr            Advanced Programming Resolutions      Dublin, Ohio              
 aps            Applied Processing Systems, Inc.      Ann Arbor, MI             
 apsrrd         Sage Software                         Rockville, MD             
 apss           Alberta Public Safety Services        Canada                    
 apt            APT Technology, Inc.                  San Jose, CA              
 aptix          Aptix Corporation                     San Jose, CA              
 apunix         Apunix Computer Services              San Diego, CA             
 aqdata         aQdata, Inc. -- Western Region        San Dimas, CA             
 aqdcle         aQdata, inc.                          Ohio                      
 aqua           Woods Hole Oceanographic Institution  Woods Hole, MA            
 aquarian       Whitestone Editorial Consulting       San Jose, CA              
 aquilo         Dezentrale Informatikdienste (ZIR),   Switzerland               
 araengr        Arasmith Engineering                  Sunnyvale, CA             
 aragon         Fundacion Jose Maria Aragon. Servici  Argentina                 
 arasmith       Arasmith Engineering                  Sunnyvale, CA             
 arastar        Arastar Consulting                    La Jolla, CA              
 aratar         Adasoft AG                            Derendingen               
 arbortext      ArborText, Inc.                       Ann Arbor, MI             
 arborvt        Arborvitae Software                   Bethesda, MD              
 arc            Advansoft Research Corporation        Santa Clara, CA           
 arcad          Arcadia Systems, Inc.                 Miami, Florida            
 arcbsys        ARC Business Systems, Inc.            San Diego, CA             
 arccampb       Campbellsvile Community College       Campellsville, KY         
 archeru        Archer Business Products              Tulsa, Oklahoma           
 archet         A Desperate and Dedicated Crew        Poughkeepsie, NY          
 archi          Institut de Mathemathiques appliquee  France                    
 archons        Dependable Solutions Consulting       Austin, Texas             
 arclev         Richard L. Zuccarini & Asc.           Sepulveda, CA             
 arcny          Automated Reasoning Corporation       Roslyn, New York          
 arcride        CERIDE,Centro Regional de Investigac  ARGENTINA                 
 arcsun         Advanced Technologies, Alberta Resea  Canada                    
 arcsys         Arcsys                                San Jose, CA              
 arctec         American Research Corporation, Techn  Monterey Park, CA         
 arcturus       Rockwell International                Anaheim, CA               
 ardent         Ardent Computer Corporation           Sunnyvale, CA             
 arenic         The Animal Rights Electronic Network  Raleigh, NC               
 arg            American Research Group               Marietta, Georgia         
 argent         Alfirin Technologies                  Beaverton, Oregon         
 argmsd         Argus Newspapers - Media Systems Dev  South Africa              
 argon          Lightspace Designs                    Highland Park, NJ         
 argos          Argos Computer Systems, Inc.          New York, New York        
 argosy         MasPar Computer Corporation           Sunnyvale, CA             
 aria           Ascend Communications, Inc.           Alameda, CA               
 ariest         Aries Technology                      Lowell, MA                
 arinc          Aeronautical Radio, Inc.              Annapolis, MD             
 arioch         SiScan Systems                        Campbell, CA              
 aris           National Technical University of Ath  Greece                    
 arisstg        ARIS Software Entwicklung GmbH        Germany                   
 arist1         ARISTACOM International, Inc.         Alameda, CA               
 arista         Home Computer (No organisation)       Oakville, Ontario         
 arizona        University of Arizona Computer Scien  Tucson, Arizona           
 ark            Southwestern Bell Telephone Co.       W Capitol, RM             
 arkcom         Ark Communications                    Canada                    
 arlene         Memorial University of Newfoundland,  Canada                    
 armcomp        ASC People Connection                 RESERVED                  
 arnet          Arnet Corporation                     Nashville, TN             
 arnold         Dave Arnold (An individual)           Mission Viejo, CA         
 arnor          IBM TJ Watson Research Center         Yorktown Heights N        
 array          Array Systems Computing, Inc.         Canada                    
 arrent         Arrent Technologies, Inc.             Long Beach, CA            
 arris          Arris Pharmaceutical Corporation      Cambridge, MA             
 arrocha        Independent developer & consultant    Charlotte, NC             
 arrow          US Army Corps of Engineers, Sacramen  Sacramento, CA            
 ars2           Automated Retail Systems              Seattle, WA               
 art-sy         Appropriate Roles for Technology      Detroit, Michigan         
 artcom         Art+Com e.V.                          Germany                   
 artcs1         Board of Governors of the Federal Re  Washington, DC            
 artech         Applied Remote Technology             San Diego, CA             
 artecon        Artecon Inc.                          Carlsbad, CA              
 artic          Oasic Technology                      Santa Clara, CA           
 artin          Garmhausen & Partner, Schulungsabtei  Germany                   
 artisan        Dennis Suppe's house                  Gainesville, FL           
 artisans       Computer Artisans                     Kirkwood, Missouri        
 artwrks        Individual                            Silver Spring, MD         
 arundel        not an organization                   Canada                    
 as360          Astrodienst Zurich AG                 Switzerland               
 asa            Allied-Signal Aerospace               Torrance, CA              
 asap           Atkinson Search & Placement, Inc.     Fairfield, Iowa           
 asc            Approach Software Corporation         San Jose, CA              
 ascdoc         Array Systems Computing, Inc.         Canada                    
 ascent         Ascent Technology, Inc.               Cambridge, MA             
 ascia          Sacramento Engineering District       Sacramento, CA            
 ascom          Ascom AG                              Solothurn                 
 ascomu         Ascom Automation, Inc.                Philadelphia, PA          
 ascvax         Ampex Switcher Company, Ampex Corpor  Wheatridge, CO            
 ascway         Schlumberger Austin Systems Center    Austin, Texas             
 asd            Applied System Design                 Edgewood, Kentucky        
 asgard         Asgard Systems                        Boulder, Colorado         
 ashsoft        Ashton Software, Inc.                 USA                       
 ashtate        Ashton-Tate                           Torrance, CA              
 ashtech        Ashtech Corporation                   San Jose, CA              
 asi            Assessment Systems, Inc.              Philadelphia, PA          
 asibbl         Automated Systems, Inc.               Blue Bell, PA             
 asihub         Cadence Design Systems                San Diego, CA             
 asiux1         Ameritech Applied Technologies, Inc.  Arlington Heights         
 ask            Atlanta Scholar's Kollel              Atlanta, Georgia          
 askinc         Ask Computer System                   Mountain View, CA         
 asoftus        Algosoft USA, Inc.                    Basalt, Colorado          
 aspaga         Zoran Corporation                     Santa Clara, CA           
 aspect         Aspect Telecommunications             California                
 aspentec       Aspen Technology Inc.                 Cambridge, MA             
 asrcmv         Atmospheric Sciences Research Center  Albany, New York          
 ast            Northrop Corporation, Electronics Sy  Rolling Meadows IL        
 astbe          AEG Software-Technik GmbH & Co KG     Germany                   
 astco          Applied Systems Technologies          Chalfont, PA              
 astph          Philadelphia Phillies                 Pennsylvania              
 astrals        Phillip - Zakhour                     San Francisco, CA         
 astroatc       Astronautics Technology Center        Madison, Wisconsin        
 astrovax       Princeton University, Dept. of Astro  Princeton, NJ             
 asuvax         Arizona State University, Engineerin  Tempe, Arizona            
 asylum         The Asylum                            Belmont, CA               
 async          Asynchron Systems Inc.                Canada                    
 atari          Atari Corporation                     Sunnyvale, CA             
 atarich        Atari Schweiz AG                      Baden                     
 atarid         Atari Computer GmbH                   Germany                   
 ataritx        Atari MicroSystems Corp.              Dallas, Texas             
 atbull         BULL AG, Oesterreich                  Austria                   
 atc            Unisys, Air Traffic Control           Eagan, Minnesota          
 atc1           Advanced Technology Center            Laguna Hills, CA          
 atdt           ATDT Public Access Unix System        Massachusetts             
 aten           TRH Software                          Houston, Texas            
 atexnet        Atex, Inc., An Eastman Kodak Subsidi  Billerica, MA             
 atexrd         Atex, Division of EPPS                Bedford, MA               
 atg            atg electronic GmbH                   Germany                   
 atg-15         Harris Corporation, Lanier Business   Atlanta, Georgia          
 atha           Athabasca University                  Canada                    
 athene         Department of Statistics, University  Georgia                   
 athenix        Athenix, Inc.                         Sunnyvale, CA             
 athertn        Atherton Technology                   Sunnyvale, CA             
 athina         Hellenic Agency for Development & Lo  Athens                    
 athsys         Athena Systems, Inc.                  Sunnyvale, CA             
 ati            Announcement Technologies, Inc.       Santa Clara, CA           
 atiba          Announcement Technologies, Inc.       Campbell, CA              
 atina          Ministerio de Relaciones Exteriores   ARGENTINA                 
 atinc          Analysis and Technology               Middletown, RI            
 ativax         AEON Technologies                     Boulder, Colorado         
 atl030         Motorola, Inc., Computer Group, Comm  Atlanta, Georgia          
 atlanta        Atlanta will be down for a while      Marietta, Georgia         
 atlas          Atlas Elektronik GmbH                 Germany                   
 atlashcx       Atlas Tube                            Ontario Canada            
 atlccs0        Northern Telecom                      Atlanta, Georgia          
 atlsqnt        Sequent Computer Systems, Inc.        Atlanta, Georgia          
 atmos          Belgian Institute for Space Aeronomy  Belgium                   
 atncpc         Ashton-Tate Northern California Prod  San Jose, CA              
 atomsf         Oy Atomica Ab                         Finland                   
 aton           D E Consulting                        Felton, California        
 atpal          Rational Technologies, Inc.           Warwick, New York         
 atrhost        Advanced Technology & Research Corpo  Laurel, MD                
 atrhq          American Technical Resources, Inc.    Annandale, VA             
 atrium         UCM Networks                          Pasadena, CA              
 ats            A&T Systems                           Silver Spring, MD         
 ats-inc        Applied Technical Solutions Inc.      San Jose, CA              
